"# Voting Age Population (VAP) and registered voters, by municipality, ALL PROVINCES (national), per Local Government Election year 2000-2021."
"# Source: IEC Atlas GeoServer (atlas.elections.org.za), per-election-year municipality layers."
"# Raw / unfiltered by design -- province-level filtering (e.g. to Mpumalanga) to be done as a later cleaning step, not here."
municipality_code,municipality_name,province,election_year,voting_age_population,registered_voters
GT422,Midvaal,Gauteng,2011,42365.0943,47956
GT423,Lesedi,Gauteng,2011,50506.9705,44483
GT481,Mogale City,Gauteng,2011,209798.9111,175799
GT482,Randfontein,Gauteng,2011,89687.6381,74370
GT483,Westonaria,Gauteng,2011,80019.142,51862
GT484,Merafong City,Gauteng,2011,172266.4337,94546
JHB,JHB - City of Johannesburg,Gauteng,2011,2297012.5379,2010122
TSH,TSH - Tshwane Metro,Gauteng,2011,1518068.9983,1326426
ETH,ETH - eThekwini,KwaZulu-Natal,2011,2040996.7499,1666548
KZN211,Vulamehlo,KwaZulu-Natal,2011,47525.3521,37839
KZN212,Umdoni,KwaZulu-Natal,2011,41113.0655,38411
KZN213,Umzumbe,KwaZulu-Natal,2011,108180.753,73021
KZN214,UMuziwabantu,KwaZulu-Natal,2011,47333.416,37819
KZN215,Ezinqoleni,KwaZulu-Natal,2011,31005.3339,23343
KZN216,Hibiscus Coast,KwaZulu-Natal,2011,135548.3127,124629
KZN221,uMshwathi,KwaZulu-Natal,2011,64782.4769,49540
KZN222,uMngeni,KwaZulu-Natal,2011,50281.8423,44832
KZN223,Mooi Mpofana,KwaZulu-Natal,2011,23644.9394,15870
KZN224,Impendle,KwaZulu-Natal,2011,20523.8303,15718
KZN225,Msunduzi,KwaZulu-Natal,2011,361170.5086,282708
KZN226,Mkhambathini,KwaZulu-Natal,2011,35450.5011,28882
KZN227,Richmond,KwaZulu-Natal,2011,37583.4244,28729
KZN232,Emnambithi/Ladysmith,KwaZulu-Natal,2011,138106.5591,99750
KZN233,Indaka,KwaZulu-Natal,2011,59038.8126,40710
KZN234,Umtshezi,KwaZulu-Natal,2011,36198.4209,34836
KZN235,Okhahlamba,KwaZulu-Natal,2011,59373.2475,53300
KZN236,Imbabazane,KwaZulu-Natal,2011,66001.6764,47243
KZN241,Endumeni,KwaZulu-Natal,2011,32408.3595,24499
KZN242,Nqutu,KwaZulu-Natal,2011,88909.6512,65779
KZN244,Msinga,KwaZulu-Natal,2011,84569.9137,75067
KZN245,Umvoti,KwaZulu-Natal,2011,53440.2269,44464
KZN252,Newcastle,KwaZulu-Natal,2011,204906.6175,149136
KZN253,eMadlangeni,KwaZulu-Natal,2011,17148.0907,11587
KZN254,Dannhauser,KwaZulu-Natal,2011,57790.7777,40544
KZN261,eDumbe,KwaZulu-Natal,2011,44172.3282,32274
KZN262,UPhongolo,KwaZulu-Natal,2011,63757.0156,51807
KZN263,Abaqulusi,KwaZulu-Natal,2011,99230.9455,84131
KZN265,Nongoma,KwaZulu-Natal,2011,99569.7622,81552
KZN266,Ulundi,KwaZulu-Natal,2011,102571.3539,83874
KZN271,Umhlabuyalingana,KwaZulu-Natal,2011,74523.4574,65406
KZN272,Jozini,KwaZulu-Natal,2011,94608.26,79143
KZN273,The Big 5 False Bay,KwaZulu-Natal,2011,16794.6431,16239
KZN274,Hlabisa,KwaZulu-Natal,2011,99908.5789,28299
KZN275,Mtubatuba,KwaZulu-Natal,2011,21639.9149,73367
KZN281,Mfolozi,KwaZulu-Natal,2011,59365.0482,59141
KZN282,uMhlathuze,KwaZulu-Natal,2011,178623.9921,154544
KZN283,Ntambana,KwaZulu-Natal,2011,46736.8823,32449
KZN284,uMlalazi,KwaZulu-Natal,2011,123592.408,96727
KZN285,Mthonjaneni,KwaZulu-Natal,2011,28815.6408,22731
KZN286,Nkandla,KwaZulu-Natal,2011,71202.8734,49242
KZN291,Mandeni,KwaZulu-Natal,2011,70639.6807,62397
KZN292,KwaDukuza,KwaZulu-Natal,2011,101841.4562,103240
KZN293,Ndwedwe,KwaZulu-Natal,2011,84779.8719,63889
KZN294,Maphumulo,KwaZulu-Natal,2011,64047.1725,43023
KZN431,Ingwe,KwaZulu-Natal,2011,57232.9916,44137
KZN432,Kwa Sani,KwaZulu-Natal,2011,7841.2563,6959
KZN433,Greater Kokstad,KwaZulu-Natal,2011,33211.1727,36849
KZN434,Ubuhlebezwe,KwaZulu-Natal,2011,55581.2602,45216
KZN435,Umzimkhulu,KwaZulu-Natal,2011,105709.4563,77292
LIM331,Greater Giyani,Limpopo,2011,147603.3068,114705
LIM332,Greater Letaba,Limpopo,2011,129017.5473,100539
LIM333,Greater Tzaneen,Limpopo,2011,240096.3938,174746
LIM334,Ba-Phalaborwa,Limpopo,2011,86537.2428,61478
LIM335,Maruleng,Limpopo,2011,59800.3262,47717
LIM341,Musina,Limpopo,2011,25100.4106,20328
LIM342,Mutale,Limpopo,2011,49412.5042,45021
LIM343,Thulamela,Limpopo,2011,356862.0988,279376
LIM344,Makhado,Limpopo,2011,302066.0884,231136
LIM351,Blouberg,Limpopo,2011,100701.0032,72151
LIM352,Aganang,Limpopo,2011,90178.4688,63103
LIM353,Molemole,Limpopo,2011,69865.8363,45795
LIM354,Polokwane,Limpopo,2011,329853.7617,239953
LIM355,Lepele-Nkumpi,Limpopo,2011,140790.4122,98391
LIM361,Thabazimbi,Limpopo,2011,43943.1812,38916
LIM362,Lephalale,Limpopo,2011,57239.7929,43023
LIM364,Mookgopong,Limpopo,2011,21919.2025,15755
LIM365,Modimolle,Limpopo,2011,40287.9851,29014
LIM366,Bela-Bela,Limpopo,2011,32377.8732,28329
LIM367,Mogalakwena,Limpopo,2011,189134.1982,136587
LIM471,Greater Marble Hall,Limpopo,2011,71598.4904,54570
LIM472,Greater Groblersdal,Limpopo,2011,128121.9436,110684
LIM473,Makhuduthamaga,Limpopo,2011,159366.7517,118568
LIM474,Fetakgomo,Limpopo,2011,57346.565,42435
LIM475,Greater Tubatse,Limpopo,2011,153486.0251,129177
MP301,Albert Luthuli,Mpumalanga,2011,112102.2288,83154
MP302,Msukaligwa,Mpumalanga,2011,77941.4124,62383
MP303,Mkhondo,Mpumalanga,2011,82398.7975,63860
MP304,Pixley Ka Seme,Mpumalanga,2011,49487.8138,34578
MP305,Lekwa,Mpumalanga,2011,68434.818,49204
MP306,Dipaleseng,Mpumalanga,2011,25616.2959,19547
MP307,Govan Mbeki,Mpumalanga,2011,146146.0233,131576
MP311,Delmas,Mpumalanga,2011,37723.2714,28664
MP312,Emalahleni,Mpumalanga,2011,178422.9782,167690
MP313,Steve Tshwete,Mpumalanga,2011,95651.645,98063
MP314,Emakhazeni,Mpumalanga,2011,28057.4505,24500
MP315,Thembisile,Mpumalanga,2011,160906.1357,138008
MP316,Dr JS Moroka,Mpumalanga,2011,151196.1917,118114
MP321,Thaba Chweu,Mpumalanga,2011,57545.0626,45624
MP322,Mbombela,Mpumalanga,2011,306783.584,254137
MP323,Umjindi,Mpumalanga,2011,37051.834,29065
MP324,Nkomazi,Mpumalanga,2011,196156.5991,146959
MP325,Bushbuckridge,Mpumalanga,2011,313614.2443,223189
NW371,Moretele,North West,2011,125140.7634,92702
NW372,Madibeng,North West,2011,245854.8225,203510
NW373,Rustenburg,North West,2011,288104.3414,242432
NW374,Kgetlengrivier,North West,2011,26558.2177,19682
NW375,Moses Kotane,North West,2011,164002.9698,120692
NW381,Ratlou,North West,2011,65610.2261,46722
NW382,Tswaing,North West,2011,73278.6278,50357
NW383,Mafikeng,North West,2011,179625.9825,124092
NW384,Ditsobotla,North West,2011,91376.0959,70278
NW385,Ramotshere Moiloa,North West,2011,93412.7013,65393
NW392,Naledi,North West,2011,36461.0607,29767
NW393,Mamusa,North West,2011,32582.6732,25134
NW394,Greater Taung,North West,2011,117221.3009,86151
NW396,Lekwa-Teemane,North West,2011,27739.2078,22125
NW397,NW397 Local Municipality,North West,2011,62068.2601,49264
NW401,Ventersdorp,North West,2011,30775.0353,19558
NW402,Potchefstroom,North West,2011,97926.7748,88942
NW403,Matlosana,North West,2011,266130.4942,184971
NW404,Maquassi Hills,North West,2011,45757.3407,35127
NC061,RICHTERSVELD,Northern Cape,2011,7994.3907,7096
NC062,NAMA KHOI,Northern Cape,2011,32412.288,27265
NC064,KAMIESBERG,Northern Cape,2011,7653.6147,6938
NC065,HANTAM,Northern Cape,2011,13873.9054,12330
NC066,KAROO HOOGLAND,Northern Cape,2011,7473.8319,6799
NC067,KHâI-MA,Northern Cape,2011,8768.8614,6873
NC071,UBUNTU,Northern Cape,2011,11130.7345,9169
NC072,UMSOBOMVU,Northern Cape,2011,16017.4707,13954
NC073,EMTHANJENI,Northern Cape,2011,24794.2347,22239
NC074,KAREEBERG,Northern Cape,2011,7531.8221,7055
NC075,RENOSTERBERG,Northern Cape,2011,6832.3828,6106
NC076,THEMBELIHLE,Northern Cape,2011,9611.4703,8454
NC077,SIYATHEMBA,Northern Cape,2011,11786.6457,11306
NC078,SIYANCUMA,Northern Cape,2011,23759.0013,18445
NC081,MIER,Northern Cape,2011,4715.0704,4995
NC082,KAI !GARIB,Northern Cape,2011,32702.7065,27649
NC083,KHARA HAIS,Northern Cape,2011,58512.4182,46956
NC084,!KHEIS,Northern Cape,2011,10754.3758,8672
NC085,TSANTSABANE,Northern Cape,2011,16582.5027,16411
NC086,KGATELOPELE,Northern Cape,2011,10220.954,8932
NC091,Sol Plaatje,Northern Cape,2011,143992.2708,121367
NC092,Dikgatlong,Northern Cape,2011,28481.7597,21517
NC093,Magareng,Northern Cape,2011,14829.1255,11765
NC094,Phokwane,Northern Cape,2011,42696.4623,30022
NC451,Joe Morolong,Northern Cape,2011,58791.9707,49517
NC452,GA-SEGONYANA,Northern Cape,2011,46580.5632,43376
NC453,GAMAGARA,Northern Cape,2011,16765.3154,16935
CPT,CPT - City of Cape Town,Western Cape,2011,2000507.614,1745854
WC011,Matzikama,Western Cape,2011,36302.4014,26630
WC012,Cederberg,Western Cape,2011,26391.572,21058
WC013,Bergrivier,Western Cape,2011,30151.49,23213
WC014,Saldanha Bay,Western Cape,2011,43341.2142,47173
WC015,Swartland,Western Cape,2011,47859.6401,42249
WC022,Witzenberg,Western Cape,2011,60222.5095,42208
WC023,Drakenstein,Western Cape,2011,128974.8994,115089
WC024,Stellenbosch,Western Cape,2011,78134.1484,79550
WC025,Breede Valley,Western Cape,2011,93798.161,71849
WC026,Langeberg,Western Cape,2011,53238.219,38275
WC031,Theewaterskloof,Western Cape,2011,61467.491,48092
WC032,Overstrand,Western Cape,2011,39856.0558,45298
WC033,Cape Agulhas,Western Cape,2011,18627.5495,17632
WC034,Swellendam,Western Cape,2011,18793.1154,15909
WC041,Kannaland,Western Cape,2011,15427.2257,13088
WC042,Hessequa,Western Cape,2011,30551.068,27251
WC043,Mossel Bay,Western Cape,2011,50369.027,52146
WC044,George,Western Cape,2011,101335.5711,90601
WC045,Oudtshoorn,Western Cape,2011,54900.3525,47736
WC047,Bitou,Western Cape,2011,21522.8156,24975
WC048,Knysna,Western Cape,2011,35955.5455,36332
WC051,Laingsburg,Western Cape,2011,4483.2282,4150
WC052,Prince Albert,Western Cape,2011,6598.5867,6566
WC053,Beaufort West,Western Cape,2011,27812.2938,23812
BUF,BUF - Buffalo City,Eastern Cape,2016,524632,419044
EC101,Dr. Beyers Naude,Eastern Cape,2016,50170,40887
EC102,Blue Crane Route,Eastern Cape,2016,22353,18372
EC104,Makana,Eastern Cape,2016,54993,46398
EC105,Ndlambe,Eastern Cape,2016,41390,34455
EC106,Sundays River Valley,Eastern Cape,2016,38086,25839
EC108,Kouga,Eastern Cape,2016,71499,58145
EC109,Kou-Kamma,Eastern Cape,2016,26617,20413
EC121,Mbhashe,Eastern Cape,2016,153276,129921
EC122,Mnquma,Eastern Cape,2016,148234,126195
EC123,Great Kei,Eastern Cape,2016,21026,17685
EC124,Amahlathi,Eastern Cape,2016,63573,52945
EC126,Ngqushwa,Eastern Cape,2016,40015,38945
EC129,Raymond Mhlaba,Eastern Cape,2016,104215,82963
EC131,Inxuba Yethemba,Eastern Cape,2016,42488,30907
EC135,Intsika Yethu,Eastern Cape,2016,80921,77938
EC136,Emalahleni,Eastern Cape,2016,65734,61471
EC137,Engcobo,Eastern Cape,2016,77803,73494
EC138,Sakhisizwe,Eastern Cape,2016,34451,30632
EC139,Enoch Mgijima,Eastern Cape,2016,155180,123599
EC141,Elundini,Eastern Cape,2016,78805,63893
EC142,Senqu,Eastern Cape,2016,76637,64675
EC145,Walter Sisulu,Eastern Cape,2016,51287,36607
EC153,Ngquza Hill,Eastern Cape,2016,151088,136794
EC154,Port St Johns,Eastern Cape,2016,82574,75867
EC155,Nyandeni,Eastern Cape,2016,161074,134892
EC156,Mhlontlo,Eastern Cape,2016,104156,96967
EC157,King Sabata Dalindyebo,Eastern Cape,2016,285498,211426
EC441,Matatiele,Eastern Cape,2016,119942,97535
EC442,Umzimvubu,Eastern Cape,2016,113020,103439
EC443,Mbizana,Eastern Cape,2016,156503,131835
EC444,Ntabankulu,Eastern Cape,2016,68264,64137
NMA,NMA - Nelson Mandela Bay,Eastern Cape,2016,804487,609217
FS161,Letsemeng,Free State,2016,27184,19458
FS162,Kopanong,Free State,2016,33712,25908
FS163,Mohokare,Free State,2016,22792,18483
FS181,Masilonyana,Free State,2016,40226,31153
FS182,Tokologo,Free State,2016,18766,13761
FS183,Tswelopele,Free State,2016,29783,26233
FS184,Matjhabeng,Free State,2016,280843,207975
FS185,Nala,Free State,2016,50029,40437
FS191,Setsoto,Free State,2016,72741,59053
FS192,Dihlabeng,Free State,2016,92873,73214
FS193,Nketoana,Free State,2016,41104,30559
FS194,Maluti a Phofung,Free State,2016,219030,185843
FS195,Phumelela,Free State,2016,32247,25832
FS196,Mantsopa,Free State,2016,32946,28376
FS201,Moqhaka,Free State,2016,107199,81069
FS203,Ngwathe,Free State,2016,78315,67877
FS204,Metsimaholo,Free State,2016,111684,79675
FS205,Mafube,Free State,2016,37280,30882
MAN,MAN - Mangaung,Free State,2016,494373,425211
EKU,EKU - Ekurhuleni,Gauteng,2016,2276480,1587116
GT421,Emfuleni,Gauteng,2016,491171,362634
GT422,Midvaal,Gauteng,2016,72234,54978
GT423,Lesedi,Gauteng,2016,73625,48336
GT481,Mogale City,Gauteng,2016,255829,193034
GT484,Merafong City,Gauteng,2016,119789,99964
GT485,Rand West City,Gauteng,2016,168732,136276
JHB,JHB - City of Johannesburg,Gauteng,2016,3058815,2240103
TSH,TSH - Tshwane Metro,Gauteng,2016,2150451,1512381
ETH,ETH - eThekwini,KwaZulu-Natal,2016,2363024,1919724
KZN212,uMdoni,KwaZulu-Natal,2016,83486,71880
KZN213,uMzumbe,KwaZulu-Natal,2016,78691,78227
KZN214,uMuziwabantu,KwaZulu-Natal,2016,50159,46019
KZN216,Ray Nkonyeni,KwaZulu-Natal,2016,206550,170849
KZN221,uMshwathi,KwaZulu-Natal,2016,61991,55846
KZN222,uMngeni,KwaZulu-Natal,2016,65833,51564
KZN223,Mpofana,KwaZulu-Natal,2016,21470,16140
KZN224,iMpendle,KwaZulu-Natal,2016,15512,17015
KZN225,Msunduzi,KwaZulu-Natal,2016,422366,340998
KZN226,Mkhambathini,KwaZulu-Natal,2016,34684,29889
KZN227,Richmond,KwaZulu-Natal,2016,38525,32165
KZN235,Okhahlamba,KwaZulu-Natal,2016,71337,60152
KZN237,iNkosi Langalibalele,KwaZulu-Natal,2016,120991,97033
KZN238,Alfred Duma,KwaZulu-Natal,2016,200084,164357
KZN241,eNdumeni,KwaZulu-Natal,2016,48429,29061
KZN242,Nqutu,KwaZulu-Natal,2016,89516,77097
KZN244,uMsinga,KwaZulu-Natal,2016,88682,85368
KZN245,uMvoti,KwaZulu-Natal,2016,74502,58550
KZN252,Newcastle,KwaZulu-Natal,2016,229789,183353
KZN253,eMadlangeni,KwaZulu-Natal,2016,19880,14331
KZN254,Dannhauser,KwaZulu-Natal,2016,55895,50834
KZN261,eDumbe,KwaZulu-Natal,2016,46796,37780
KZN262,uPhongolo,KwaZulu-Natal,2016,73898,59884
KZN263,AbaQulusi,KwaZulu-Natal,2016,135022,97881
KZN265,Nongoma,KwaZulu-Natal,2016,105507,96207
KZN266,Ulundi,KwaZulu-Natal,2016,107122,95548
KZN271,uMhlabuyalingana,KwaZulu-Natal,2016,88582,79546
KZN272,Jozini,KwaZulu-Natal,2016,101272,95445
KZN275,Mtubatuba,KwaZulu-Natal,2016,105374,90718
KZN276,Big Five Hlabisa,KwaZulu-Natal,2016,61168,54748
KZN281,uMfolozi,KwaZulu-Natal,2016,78071,74341
KZN282,uMhlathuze,KwaZulu-Natal,2016,241586,195576
KZN284,uMlalazi,KwaZulu-Natal,2016,116894,108500
KZN285,Mthonjaneni,KwaZulu-Natal,2016,45795,44562
KZN286,Nkandla,KwaZulu-Natal,2016,53571,57706
KZN291,Mandeni,KwaZulu-Natal,2016,91052,73103
KZN292,KwaDukuza,KwaZulu-Natal,2016,182640,128474
KZN293,Ndwedwe,KwaZulu-Natal,2016,81071,72851
KZN294,Maphumulo,KwaZulu-Natal,2016,48494,49456
KZN433,Greater Kokstad,KwaZulu-Natal,2016,46718,42169
KZN434,uBuhlebezwe,KwaZulu-Natal,2016,60706,57399
KZN435,uMzimkhulu,KwaZulu-Natal,2016,98207,92362
KZN436,Dr. Nkosazana Dlamini Zuma,KwaZulu-Natal,2016,63308,56529
LIM331,Greater Giyani,Limpopo,2016,144181,126936
LIM332,Greater Letaba,Limpopo,2016,126338,111093
LIM333,Greater Tzaneen,Limpopo,2016,261054,184324
LIM334,Ba-Phalaborwa,Limpopo,2016,102384,70416
LIM335,Maruleng,Limpopo,2016,60176,52535
LIM341,Musina,Limpopo,2016,83053,43282
LIM343,Thulamela,Limpopo,2016,212107,227096
LIM344,Makhado,Limpopo,2016,235192,182361
LIM345,Collins Chabane,Limpopo,2016,160019,158218
LIM351,Blouberg,Limpopo,2016,88595,84327
LIM353,Molemole,Limpopo,2016,66922,59052
LIM354,Polokwane,Limpopo,2016,482388,318088
LIM355,Lepele-Nkumpi,Limpopo,2016,131473,105754
LIM361,Thabazimbi,Limpopo,2016,63257,45209
LIM362,Lephalale,Limpopo,2016,84118,58046
LIM366,Bela-Bela,Limpopo,2016,44841,30212
LIM367,Mogalakwena,Limpopo,2016,172178,144031
LIM368,Modimolle/Mookgopong,Limpopo,2016,60286,50680
LIM471,Ephraim Mogale,Limpopo,2016,71070,56934
LIM472,Elias Motsoaledi,Limpopo,2016,154294,121169
LIM473,Makhuduthamaga,Limpopo,2016,161870,127687
LIM476,Greater Tubatse/Fetakgomo,Limpopo,2016,304959,198678
MP301,Chief Albert Luthuli,Mpumalanga,2016,108013,92592
MP302,Msukaligwa,Mpumalanga,2016,106728,71337
MP303,Mkhondo,Mpumalanga,2016,108358,71990
MP304,Dr Pixley Ka Isaka Seme,Mpumalanga,2016,51466,38501
MP305,Lekwa,Mpumalanga,2016,82940,53249
MP306,Dipaleseng,Mpumalanga,2016,30927,21413
MP307,Govan Mbeki,Mpumalanga,2016,226986,145295
MP311,Victor Khanye,Mpumalanga,2016,53692,33451
MP312,Emalahleni,Mpumalanga,2016,305047,189524
MP313,Steve Tshwete,Mpumalanga,2016,187948,110703
MP314,Emakhazeni,Mpumalanga,2016,31475,26651
MP315,Thembisile Hani,Mpumalanga,2016,205246,154722
MP316,Dr JS Moroka,Mpumalanga,2016,151126,130145
MP321,Thaba Chweu,Mpumalanga,2016,64917,51549
MP324,Nkomazi,Mpumalanga,2016,199233,167009
MP325,Bushbuckridge,Mpumalanga,2016,287656,244180
MP326,City of Mbombela,Mpumalanga,2016,410250,316905
NW371,Moretele,North West,2016,112443,97823
NW372,Madibeng,North West,2016,313914,224109
NW373,Rustenburg,North West,2016,375929,297219
NW374,Kgetlengrivier,North West,2016,34678,22007
NW375,Moses Kotane,North West,2016,147712,126321
NW381,Ratlou,North West,2016,63950,49958
NW382,Tswaing,North West,2016,81679,51737
NW383,Mafikeng,North West,2016,210356,134207
NW384,Ditsobotla,North West,2016,120438,72316
NW385,Ramotshere Moiloa,North West,2016,104729,68743
NW392,Naledi,North West,2016,43866,32259
NW393,Mamusa,North West,2016,36388,28290
NW394,Greater Taung,North West,2016,97262,89546
NW396,Lekwa-Teemane,North West,2016,34069,23709
NW397,Ganyesa/Pomfret,North West,2016,57332,53288
NW403,Matlosana,North West,2016,264200,190132
NW404,Maquassi Hills,North West,2016,49581,37475
NW405,JB Marks,North West,2016,157296,116321
NC061,RICHTERSVELD,Northern Cape,2016,9157,7374
NC062,NAMA KHOI,Northern Cape,2016,33522,28971
NC064,KAMIESBERG,Northern Cape,2016,6822,7335
NC065,HANTAM,Northern Cape,2016,14875,13339
NC066,KAROO HOOGLAND,Northern Cape,2016,8990,7235
NC067,KHI-MA,Northern Cape,2016,8922,7129
NC071,UBUNTU,Northern Cape,2016,12720,9707
NC072,UMSOBOMVU,Northern Cape,2016,20712,14710
NC073,EMTHANJENI,Northern Cape,2016,30076,23073
NC074,KAREEBERG,Northern Cape,2016,8955,7432
NC075,RENOSTERBERG,Northern Cape,2016,7813,6391
NC076,THEMBELIHLE,Northern Cape,2016,11075,8874
NC077,SIYATHEMBA,Northern Cape,2016,15723,12107
NC078,SIYANCUMA,Northern Cape,2016,24245,19719
NC082,KAI !GARIB,Northern Cape,2016,49368,31417
NC084,!KHEIS,Northern Cape,2016,9842,9731
NC085,TSANTSABANE,Northern Cape,2016,26534,18682
NC086,KGATELOPELE,Northern Cape,2016,13531,9767
NC087,Dawid Kruiper,Northern Cape,2016,68685,57992
NC091,Sol Plaatje,Northern Cape,2016,169510,130318
NC092,Dikgatlong,Northern Cape,2016,30340,22639
NC093,Magareng,Northern Cape,2016,15487,12040
NC094,Phokwane,Northern Cape,2016,37733,32086
NC451,Joe Morolong,Northern Cape,2016,46287,51911
NC452,GA-SEGONYANA,Northern Cape,2016,63471,49469
NC453,GAMAGARA,Northern Cape,2016,37322,21862
CPT,CPT - City of Cape Town,Western Cape,2016,2624368,1977690
WC011,Matzikama,Western Cape,2016,47032,30193
WC012,Cederberg,Western Cape,2016,35758,24931
WC013,Bergrivier,Western Cape,2016,45428,26310
WC014,Saldanha Bay,Western Cape,2016,75640,56767
WC015,Swartland,Western Cape,2016,90772,49185
WC022,Witzenberg,Western Cape,2016,86435,46980
WC023,Drakenstein,Western Cape,2016,187140,129265
WC024,Stellenbosch,Western Cape,2016,118306,91881
WC025,Breede Valley,Western Cape,2016,112598,77483
WC026,Langeberg,Western Cape,2016,66420,43290
WC031,Theewaterskloof,Western Cape,2016,76812,56687
WC032,Overstrand,Western Cape,2016,64852,53384
WC033,Cape Agulhas,Western Cape,2016,23983,19650
WC034,Swellendam,Western Cape,2016,25848,18881
WC041,Kannaland,Western Cape,2016,16023,14735
WC042,Hessequa,Western Cape,2016,38362,30950
WC043,Mossel Bay,Western Cape,2016,66925,59270
WC044,George,Western Cape,2016,139463,100886
WC045,Oudtshoorn,Western Cape,2016,64034,52443
WC047,Bitou,Western Cape,2016,38653,27867
WC048,Knysna,Western Cape,2016,48766,40014
WC051,Laingsburg,Western Cape,2016,6280,4494
WC052,Prince Albert,Western Cape,2016,9798,7386
WC053,Beaufort West,Western Cape,2016,33830,26027
